,school_name,school_latitude,school_longitude,sap_ind,autonomous_ind,gifted_ind,ip_ind
129,NORTH SPRING PRIMARY SCHOOL,1.3870614649486297,103.903202683028,No,No,No,No
130,YEW TEE PRIMARY SCHOOL,1.39676600905038,103.750985967346,No,No,No,No
131,HOUGANG PRIMARY SCHOOL,1.37738249360778,103.88080729509599,No,No,No,No
132,MERIDIAN PRIMARY SCHOOL,1.3755283165848797,103.934889078246,No,No,No,No
133,GREENWOOD PRIMARY SCHOOL,1.4398995833178503,103.804725587384,No,No,No,No
134,ANDERSON PRIMARY SCHOOL,1.38426429436739,103.841392081119,No,No,No,No
135,WELLINGTON PRIMARY SCHOOL,1.4519158578311597,103.82230605577,No,No,No,No
136,EDGEFIELD PRIMARY SCHOOL,1.40009139510997,103.90784759911399,No,No,No,No
137,WEST GROVE PRIMARY SCHOOL,1.34487905600144,103.699286360581,No,No,No,No
138,CASUARINA PRIMARY SCHOOL,1.37246063955374,103.957020286387,No,No,No,No
139,CLEMENTI PRIMARY SCHOOL,1.31506321827877,103.763144493687,No,No,No,No
140,TANJONG KATONG PRIMARY SCHOOL,1.324682,103.93857,No,No,No,No
141,ANDERSON SECONDARY SCHOOL,1.37434001701182,103.85155410706801,No,Yes,No,No
142,BARTLEY SECONDARY SCHOOL,1.33995415587812,103.882806211705,No,No,No,No
143,BEATTY SECONDARY SCHOOL,1.34177065550556,103.85228563658701,No,No,No,No
144,CEDAR GIRLS' SECONDARY SCHOOL,1.3337580021633701,103.87393306407,No,Yes,No,Yes
145,CRESCENT GIRLS' SCHOOL,1.29331947049732,103.817544461483,No,Yes,No,No
146,GAN ENG SENG SCHOOL,1.289071144584,103.823733672546,No,No,No,No
147,QUEENSWAY SECONDARY SCHOOL,1.30022271592191,103.80220729162599,No,No,No,No
148,RAFFLES GIRLS' SCHOOL (SECONDARY),1.3116950282779198,103.82895958573299,No,No,Yes,Yes
149,RAFFLES INSTITUTION,1.34595888574312,103.841527553164,No,No,Yes,Yes
150,SERANGOON SECONDARY SCHOOL,1.37465538827444,103.902138740699,No,No,No,No
