,supermarket_name,supermarket_latitude,supermarket_longitude
273,NTUC FAIRPRICE CO-OPERATIVE LTD,1.35023942729665,103.848477626073
274,NTUC FAIRPRICE CO-OPERATIVE LTD,1.37231186456868,103.893661619219
275,NTUC FAIRPRICE CO-OPERATIVE LTD,1.37361830003654,103.88574886332
276,NTUC FAIRPRICE CO-OPERATIVE LTD,1.35757558065219,103.884038461279
277,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3756672808109,103.879450260083
278,NTUC FAIRPRICE CO-OPERATIVE LTD,1.37244980890777,103.949715696944
279,NTUC FAIRPRICE CO-OPERATIVE LTD,1.35267232042901,103.944387982831
280,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33740471321143,103.921774737841
281,SONG FISH DEALER PTE LTD,1.3236517309902,103.922102964585
282,U STARS PTE. LTD.,1.41517633772651,103.83983039077
283,SHENG SIONG SUPERMARKET PTE LTD,1.30203802909961,103.798021747973
284,L M MEAT PTE. LTD.,1.3236517309902,103.922102964585
285,SHENG SIONG SUPERMARKET PTE LTD,1.36700053512078,103.964617780128
286,OH BENG GUAN,1.36393821477866,103.751896006132
287,IROHA INTERNATIONAL PTE. LTD.,1.28499883856532,103.844697090786
288,COLD STORAGE SINGAPORE (1983) PTE LTD,1.36462540011122,103.847677043508
289,COLD STORAGE SINGAPORE (1983) PTE LTD,1.38739537368097,103.869135979297
290,COLD STORAGE SINGAPORE (1983) PTE LTD,1.30523472024853,103.905014934935
291,CULINA PTE LTD,1.30417511894087,103.809526142547
292,COLD STORAGE SINGAPORE (1983) PTE LTD,1.33362232032979,103.8509778648
293,COLD STORAGE SINGAPORE (1983) PTE LTD,1.28692006435587,103.818673599932
294,SHENG SIONG SUPERMARKET PTE LTD,1.32463573239521,103.931068836577
295,PRIME SUPERMARKET LIMITED,1.43998365427584,103.801293114431
296,NG TOH TET,1.35151847178612,103.719496485079
297,HAO MART PTE. LTD.,1.33545352733956,103.863387984978
298,CHUA & NG PTE. LTD.,1.33205094619271,103.914145078086
299,LOCH GROCER PTE. LTD.,1.34995541023414,103.717704811504
300,TANESEI TRADING PTE. LTD.,1.30684882667818,103.788214538525
301,ARCHANA SUPERMARKET PTE. LTD.,1.32048426082957,103.726722841969
302,COLD STORAGE SINGAPORE (1983) PTE LTD,1.45000861248809,103.81411090726
303,COLD STORAGE SINGAPORE (1983) PTE LTD,1.34239284479656,103.776250537642
304,COLD STORAGE SINGAPORE (1983) PTE LTD,1.33667572858824,103.783709152299
305,ISETAN (SINGAPORE) LIMITED?,1.33402529468935,103.742586015051
306,COLD STORAGE SINGAPORE (1983) PTE LTD,1.34159108250934,103.697020082225
307,PRIME SUPERMARKET LIMITED,1.34872643268225,103.698292007732
308,SHENG SIONG SUPERMARKET PTE LTD,1.34737179952411,103.743698115504
309,COLD STORAGE SINGAPORE (1983) PTE LTD,1.3501891589254,103.749021982726
310,TANESEI RETAILING PTE. LTD.,1.3523611297845,103.943784815991
311,LITTLE FARMS PTE. LTD.,1.27672493204774,103.845155396186
312,MAHOTA FOOD PTE. LTD.,1.3523611297845,103.943784815991
313,SONG FISH DEALER PTE LTD,1.3523611297845,103.943784815991
314,SHENG SIONG SUPERMARKET PTE LTD,1.30811886968959,103.786049389035
315,SHENG SIONG SUPERMARKET PTE LTD,1.3778920308286,103.856411982148
316,ISYMI PTE LTD,1.35530903339479,103.887857189653
317,THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,1.31469214115978,103.894480527876
318,TOH GUAN MINI MART PTE LTD,1.33832657868868,103.753536116977
319,KADER HASNA MARICAN,1.33314577537318,103.695248113879
320,"TANG KER AN, TIMOTHY",1.3206250589085,103.934734229515
321,COLD STORAGE SINGAPORE (1983) PTE LTD,1.37904775569569,103.772937487064
322,MM SUNDRY SHOP PTE.LTD.,1.45464654784747,103.804476738376
323,AL MARCHE PTE LTD,1.28076944309971,103.852658565645
324,COLD STORAGE SINGAPORE (1983) PTE LTD,1.33081740177866,103.795692359115
325,COLD STORAGE SINGAPORE (1983) PTE LTD,1.31025542171459,103.795350440968
326,THE ALASKA GUYS PTE. LTD.,1.31212247677014,103.911185988113
327,COLD STORAGE SINGAPORE (1983) PTE LTD,1.44053814947729,103.800977588529
328,SONG FISH DEALER PTE LTD,1.42969848150358,103.835776497586
329,SHENG SIONG SUPERMARKET PTE LTD,1.3882402152635,103.769575387874
330,SHENG SIONG SUPERMARKET PTE LTD,1.39779874004409,103.881698809438
331,COLD STORAGE SINGAPORE (1983) PTE LTD,1.40053114255394,103.91053692695
332,COLD STORAGE SINGAPORE (1983) PTE LTD,1.28263437748971,103.825595755974
333,COLD STORAGE SINGAPORE (1983) PTE LTD,1.36267450256161,103.76417292134
334,COLD STORAGE SINGAPORE (1983) PTE LTD,1.3165446779962,103.894289394701
335,TANESEI RETAILING PTE. LTD.,1.30523472024853,103.905014934935
336,SHENG SIONG SUPERMARKET PTE LTD,1.38400581939075,103.771029612234
337,COLD STORAGE SINGAPORE (1983) PTE LTD,1.37805613765446,103.73893180394
338,U STARS PTE. LTD.,1.37405796748332,103.746160084444
339,FORTUNE SUPERMARKET PTE. LTD.,1.44834154204666,103.801057153449
340,HAO MART PTE. LTD.,1.45026201712259,103.822534722305
341,U STARS SUPERMARKET PTE. LTD.,1.40322711960687,103.895387026654
