,carpark_name,carpark_latitude,carpark_longitude
163,BLK 448A BRIGHT HILL DRIVE,1.3578308220309527,103.83163014387951
164,BLK 275 BISHAN ST 24,1.3563083436627195,103.8436737995863
165,BLK 117-134 BISHAN STREET 12,1.346177376327491,103.85096106346917
166,BLK 135/138 BISHAN STREET 12,1.344748214102587,103.85188334257273
167,BLK 139-144 BISHAN STREET 12,1.3450046991490174,103.85302289077185
168,"BLK 145-150A, 151 BISHAN STREET 11",1.3444363922390985,103.85531480784525
169,BLK 153-167 BISHAN STREET 13,1.3471702615089838,103.85618277394852
170,BLK 1 THOMSON ROAD,1.3249913646328675,103.8424599258254
171,BLK 2 BALESTIER ROAD,1.3260459729073188,103.842761303002
172,BLK 259B BANGKIT ROAD,1.3777664235348215,103.77351523338471
173,BLK 130-140 CASHEW ROAD,1.3739566801241152,103.76932302016631
174,BLK 234-241 BUKIT PANJANG RING ROAD,1.378939286630854,103.77065516676899
175,BLK 242-245 BUKIT PANJANG RING ROAD,1.380763687110141,103.77187994356355
176,BLK 246-255 BANGKIT ROAD,1.3802532628105784,103.77448858908443
177,BLK 270-277 BANGKIT ROAD,1.3770036224850932,103.77477880177571
178,BLK 257 BANGKIT ROAD,1.378986937795816,103.77352906342219
179,BLK 259A BANGKIT ROAD,1.3774944817504973,103.77378188713317
180,BLK 259A BANGKIT ROAD,1.3775065165718783,103.77362031087559
181,BLK 401A FAJAR ROAD,1.3812502325627354,103.76894572813386
182,BLK 401-408 FAJAR ROAD,1.3809699699980742,103.76811152657737
183,BLK 409-419 FAJAR ROAD,1.384033758824113,103.76838389812893
184,BLK 141-151 GANGSA/PETIR ROAD,1.3761350307538076,103.7666613402764
185,BLK 420-426 FAJAR ROAD,1.3860579471811598,103.769781679334
186,BLK 427-435 BUKIT PANJANG RING ROAD,1.3859447799988975,103.77067200118992
187,BLK 256/257/260 BANGKIT ROAD,1.3782937079787774,103.77350310387189
188,BLK 258 BUKIT PANJANG RING ROAD,1.3776345511753252,103.77295108931894
189,BLK 436-441 FAJAR ROAD,1.3832674838228838,103.77046826752373
190,BLK 453A FAJAR ROAD,1.384899130104685,103.77172518427943
191,BLK 449A BUKIT PANJANG RING ROAD,1.3838090743064257,103.77269937922769
192,BLK 442A FAJAR ROAD,1.3826405383885618,103.77095043939036
193,BLK 170A LOMPANG ROAD,1.378924834192692,103.76554600407277
194,BLK 505A JELAPANG ROAD,1.3849380921344518,103.76768309161008
195,BLK 101/129 GANGSA ROAD/PENDING ROAD,1.3773101941380117,103.76937734296435
196,BLK 510A JELAPANG ROAD,1.3870292824106258,103.76897932907721
197,BLK 513A JELAPANG ROAD,1.3878981508664137,103.76751842409762
198,BLK 518A JELAPANG ROAD,1.386557415749322,103.76684764178867
199,BLK 234A BUKIT PANJANG RING ROAD,1.3791195021651246,103.7720111271445
200,BLK 517A JELAPANG ROAD,1.387796059901576,103.76649013821367
201,BLK 521A JELAPANG ROAD,1.3870243325743734,103.76587216140476
202,BLK 525A JELAPANG ROAD,1.3862628916315594,103.76529587592344
203,BLK 529A JELAPANG ROAD,1.3853758101416573,103.76466066314032
204,BLK 533A BUKIT PANJANG RING ROAD,1.3851366908698401,103.76342664649454
205,BLK 537A BUKIT PANJANG RING ROAD,1.3842317977235148,103.76286006929963
206,BLK 219/233 PETIR ROAD,1.3755313767853974,103.77225793527481
207,BLK 541A BUKIT PANJANG RING ROAD,1.3828257877526797,103.76290164919327
208,BLK 152A GANGSA ROAD,1.3755120500520865,103.7654544839076
209,BLK 163A GANGSA ROAD,1.3769212779575655,103.76428644466158
210,BLK 603A SENJA ROAD,1.381720445982174,103.76167761264911
211,BLK 177A LOMPANG ROAD,1.3806489411159282,103.76498679347908
212,BLK 180A LOMPANG ROAD,1.3786879613964398,103.76500878091232
213,BLK 651A SENJA LINK,1.3871857898272917,103.76460302573584
214,BLK 611A/613A/615A/616A BUKIT PANJANG RING ROAD/SENJA ROAD,1.3848974600068813,103.76148675340319
215,BLK 225A PETIR ROAD MSCP,1.3749915531813584,103.7730772236168
216,BLK 468A SEGAR ROAD,1.388183997698606,103.77368892264865
217,BLK 181A JELEBU ROAD,1.379398408707913,103.76346427312762
218,BLK 185A JELEBU ROAD,1.379113361323433,103.76263790594537
219,BLK 480A SEGAR ROAD,1.389802807641881,103.77193206988463
220,BLK 476A SEGAR ROAD,1.3890478094024705,103.77350010545928
221,BLK 625A SENJA ROAD,1.3862829447414375,103.76077695178896
222,BLK 629A SENJA ROAD,1.385891216047011,103.75894983505444
223,BLK 628 SENJA RD,1.385251202845707,103.76017044837732
224,BLK 455A SEGAR ROAD,1.3875244297684308,103.77127261757724
225,BLK 488A SEGAR ROAD,1.3898650835437794,103.77126415842334
226,BLK 217A PETIR ROAD MSCP,1.3741714064009953,103.77440629700969
227,BLK 547 SEGAR ROAD,1.3882914101394497,103.76949985573688
228,BLK 548 SEGAR ROAD,1.3889973185441589,103.76783128358848
229,BLK 454 FAJAR ROAD,1.384268625374574,103.77139632201686
230,BLK 443 FAJAR ROAD,1.3813155105578694,103.77029114340563
231,BLK 632 SENJA ROAD,1.3847041571560248,103.75876137706072
232,BLK 634 SENJA ROAD,1.3862485761850678,103.75770261335553
233,BLK 636 SENJA ROAD,1.3873499559694598,103.75798290360146
234,BLK 422A FAJAR ROAD,1.3853817252275453,103.76997021493034
235,BLK 201/218 PETIR ROAD,1.3746997308259696,103.77359583708795
236,BLK 668 CHANDER ROAD,1.3078189305831844,103.8515963392349
237,BLK 681/682 RACE COURSE ROAD,1.314128096949686,103.85547996378351
238,BLK 682/683 RACE COURSE ROAD,1.3144152298359435,103.85580084662944
239,BLK 684/685 RACE COURSE ROAD,1.3144503701412007,103.85684097167268
240,BLK 678 PERUMAL ROAD,1.3126129574907244,103.85532195310934
241,BLK 668 CHANDER ROAD,1.307337212647671,103.85146379729147
242,BLK 6A BOON KENG ROAD,1.3172763032697552,103.86136809519948
243,BLK 10 BENDEMEER ROAD,1.3155064401637513,103.86095873270126
244,BLK 188/191 BOON LAY DRIVE,1.3437618406573535,103.7114251379436
245,BLK 198/206 BOON LAY DRIVE,1.3446925875203717,103.71503519763307
246,BLK 257A BOON LAY DRIVE,1.3459715197541577,103.70756220303554
247,BLK 268 BOON LAY DRIVE,1.3478712414477692,103.70774069535459
248,BLK 208A BOON LAY PLACE,1.346549555712571,103.71442382780704
249,BLK 212A BOON LAY PLACE,1.3487772809984708,103.7133456635813
250,180 BOON LAY DRIVE,1.3480982543721107,103.70817527684159
251,183 BOON LAY AVENUE,1.3492568430818872,103.70937375465324
252,196 BOON LAY DR,1.3425435059718895,103.71374987824393
253,216 BOON LAY AVE,1.3495605885266677,103.71157981204752
254,BLK 174/179 BOON LAY DRIVE,1.346874707613086,103.70923455522826
255,BLK 221 BOON LAY PLACE,1.3454251335374876,103.71339091636773
256,BLK 221 BL8 BOON LAY PLACE,1.346224586311341,103.71206380535884
257,BLK 185/187 BOON LAY AVE,1.3458708704867612,103.71071997503024
258,BLK 126A BUKIT MERAH VIEW,1.2846262894692295,103.82312918959775
259,BLK 28 JALAN BUKIT MERAH,1.2862735083794117,103.80966919544943
260,BLK 56/57 LENGKOK BAHRU,1.288095999047964,103.81406981706992
261,BLK 55 LENGKOK BAHRU,1.287672032068253,103.81327487237847
262,BLK 44/47 LENGKOK BAHRU,1.286898204396789,103.81219180664439
263,BLK 34-36 JALAN RUMAH TINGGI,1.2890407366150325,103.80884793932954
264,BLK 88/89 REDHILL CLOSE,1.2857124480254312,103.81870264853339
265,BLK 28 HOY FATT ROAD,1.2868507679834955,103.80995307226148
266,BLK 89/90 REDHILL CLOSE,1.285247295517056,103.81876020804624
267,BLK 17 REDHILL CLOSE,1.2851962650167004,103.81800888261792
268,BLK 13 REDHILL CLOSE,1.2857329416555094,103.81676117221748
269,BLK 1/3/5 JALAN BUKIT MERAH,1.2872797078739202,103.8074079390379
270,BLK 115/116 BUKIT MERAH CENTRAL,1.284059569899438,103.8147829578239
271,"BLK 117, 161 BUKIT MERAH CENTRAL",1.2839993312076001,103.81582316671016
272,BLK 163 BUKIT MERAH CENTRAL,1.2836347060925115,103.8170992125997
273,BLK 49/50 HOY FATT ROAD,1.2877077662690217,103.81152776946917
274,BLK 164/165 BUKIT MERAH CENTRAL,1.2832343332565168,103.81673344232499
275,BLK 119 BUKIT MERAH CENTRAL,1.2824491300655365,103.81657502600716
276,BLKS 167-169 JALAN BUKIT MERAH,1.282747872709334,103.81865105241602
277,BLK 8/9 REDHILL CLOSE,1.2850253287314666,103.81664343662788
278,BLK 1/5/7 REDHILL CLOSE,1.2843874478998882,103.81797642590082
279,JALAN BUKIT MERAH,1.282805821517793,103.81785799712083
280,BLK 35A JALAN RUMAH TINGGI,1.287667284248731,103.80895514474003
281,BLKS 8/10 JALAN RUMAH TINGGI,1.288431556063423,103.80761950142214
282,BLK 61 LENGKOK BAHRU,1.2895333905500654,103.81376449901667
283,BLK 58/59 LENGKOK BAHRU,1.28909799857285,103.81435801840581
284,BLK 101/109 BUKIT PURMEI ROAD,1.2727949460019108,103.82487004638605
285,BLK 110/115 BUKIT PURMEI ROAD,1.2740916912710758,103.82700432828176
286,BLK 665 BUFFALO ROAD LOADING/UNLOADING BAYS,1.3065968942240478,103.85070749100312
287,BLK 665 BUFFALO ROAD BASEMENT CAR PARK,1.306066749235348,103.85058597863153
288,BLK 39 BENDEMEER ROAD,1.3207472024589295,103.86617287009032
289,BLK 112A WHAMPOA ROAD,1.3264854877042713,103.85672896311394
290,BLK 32A JALAN BAHAGIA,1.3259740602921022,103.85768389140578
291,BLK 98A WHAMPOA DRIVE,1.3215277953752567,103.85465630079332
292,BLK 85A WHAMPOA DRIVE,1.322730324429887,103.85607403368216
293,BLK 19A JALAN TENTERAM,1.3275438277706244,103.85948585590164
294,BLK 116 JALAN TENTERAM,1.3277831137966807,103.86119338936635
295,BLK 78A LORONG LIMAU,1.3243738973722423,103.85540203296432
296,BLK 90 WHAMPOA DRIVE,1.3230185394991696,103.85450430527517
297,BLKS 27-30 & 32-33 JALAN BAHAGIA,1.3262618386843075,103.85896437723358
298,BLKS 34/35 JALAN BAHAGIA,1.3272150796002606,103.8577182705579
299,BLK 20 JALAN TENTERAM,1.325955650724788,103.85998347830035
300,BLK 111A ST MICHAEL BUS TERMINAL,1.3262698248738671,103.8557497426468
301,BLK 41/47 JALAN BAHAGIA,1.3272593623162008,103.85664071614106
302,BLK 61/62 JALAN MA'MOR,1.328346419150047,103.85759288738599
303,BLK 81/89 WHAMPOA DRIVE,1.3235772596397815,103.85542137806372
304,BLK 74/75 WHAMPOA DRIVE,1.3249089706442563,103.85819063929895
305,BLK 92 WHAMPOA DRIVE,1.3230388252880416,103.85353576307081
306,BLK 76/77 LORONG LIMAU,1.32516001102033,103.85455834180907
307,BLK 69 MOULMEIN ROAD,1.3189625696233318,103.85074308712241
308,BLK 2B BOON TIONG ROAD,1.2867839238665024,103.8332897478358
309,BLK 8C BOON TIONG RD,1.28696308219404,103.82964101237162
310,BLK 11A BOON TIONG ROAD,1.2863112198549262,103.82869825504955
311,BLK 129A BUKIT MERAH VIEW,1.2834928028879091,103.8233756624967
312,BLK 2A JLN BUKIT MERAH,1.2868753024819688,103.80665447754255
313,BLK 404/413 BEDOK NORTH AVENUE 3,1.3290283308949415,103.93370774409028
314,BLK 416/418 BEDOK NORTH AVENUE 2,1.3283420053245567,103.93039617992305
315,BLK 420/421 BEDOK NORTH STREET 1,1.3275983686830153,103.92787851961288
316,BLK 414/425 BEDOK NORTH ROAD,1.3296532168537056,103.9297637719663
317,BLK 412/413 BEDOK NORTH AVENUE 2,1.3291590929262382,103.93144509494549
318,BLK 32/63 BEDOK SOUTH AVENUE 2,1.3235011178756233,103.94055949192449
319,BLK 52/57 NEW UPPER CHANGI ROAD,1.32421773800636,103.94185716126597
320,BLK 46/48/50 BEDOK SOUTH AVENUE 3,1.3230008996571678,103.94289655014059
321,BLK 37/38/43/60 BEDOK SOUTH ROAD,1.3219245460051459,103.94096096793446
322,BLK 67/73 BEDOK SOUTH ROAD,1.3197997144802653,103.94342037708859
323,BLK 74/82 BEDOK NORTH ROAD,1.3281779629096109,103.94104648719095
324,BLK 187 BEDOK NORTH ST 4,1.3306877578836154,103.9406433705684
325,BLK 84/89 BEDOK NORTH AVENUE 4,1.3326471603070096,103.9382946222624
326,BLK 84 BEDOK NORTH STREET 4,1.3312631032232756,103.93961602851004
327,BLK 91/97 BEDOK NORTH AVENUE 4,1.332969118771698,103.94049034285037
328,BLK 98/100 BEDOK NORTH AVENUE 4,1.3343079867729029,103.94034058725505
329,BLK 101/106 BEDOK NORTH AVENUE 4,1.334117746989273,103.93803813520938
330,BLK 107/110 BEDOK NORTH ROAD,1.3325447895324363,103.93557107829302
331,BLK 119/123 BEDOK NORTH STREET 2,1.3299428346569537,103.93875343367463
332,BLK 124/129 BEDOK NORTH STREET 2,1.3285012341967177,103.93885019978532
333,BLK 130/132 BEDOK NORTH STREET 2,1.3274106694551349,103.93675747950438
334,BLK 131/122 BEDOK NORTH AVENUE 3,1.3272408584024238,103.93580016456161
335,BLK 134/136 BEDOK NORTH AVENUE 3,1.3283122943595482,103.93567343083882
336,BLK 137/140 BEDOK NORTH AVENUE 3,1.3290580972039858,103.93517620266337
337,BLK 504/507 BEDOK NORTH STREET 3,1.332549947638766,103.9327701451649
338,BLK 510 BEDOK NORTH STREET 3,1.3325549180208134,103.93149286604553
339,BLK 509/511 BEDOK NORTH STREET 3,1.3324517913824236,103.93082115682421
340,BLK 519/522 553 BEDOK NORTH AVENUE 1/2,1.3311051865435088,103.92760339777342
341,BLK 528/536 BEDOK NORTH STREET 3,1.3339712514435131,103.92750877467209
342,BLK 523/527 BEDOK NORTH STREET 3,1.3344153931770506,103.92985412808544
343,BLKS 556/557 BEDOK NORTH STREET 3,1.3322644035346936,103.9229186183787
344,BLK 537/539 BEDOK NORTH STREET 3,1.3316799840248994,103.92542899880056
345,BLK 537/538 BEDOK NORTH STREET 3,1.3313212244017443,103.92418195189414
346,BLK 540/542 BEDOK NORTH STREET 3,1.3308959153267617,103.92224783902378
347,BLK 543/547 BEDOK NORTH STREET 3,1.3300959277312137,103.92342122843809
348,BLK 549/551 BEDOK NORTH AVENUE 1,1.3321857665418388,103.92666820717177
349,BLK 601/605 BEDOK RESERVOIR ROAD,1.330447090725113,103.91306656126872
350,BLK 606/610 BEDOK RESERVOIR ROAD,1.3315125775775256,103.91273516961269
351,BLK 609A BEDOK RESERVOIR ROAD,1.3316370821543262,103.91195250661866
352,BLK 611/616 BEDOK RESERVOIR ROAD,1.3321465000881816,103.91639624241323
353,BLK 617/624 BEDOK RESERVOIR ROAD,1.3339091800300162,103.91789418746009
