,search_add,retrieved_name,retrieved_latitude,retrieved_longitude
184,WEST SPRING SECONDARY SCHOOL,WEST SPRING SECONDARY SCHOOL,1.38782283796462,103.7601288271
185,JURONG WEST SECONDARY SCHOOL,JURONG WEST SECONDARY SCHOOL,1.33525634519939,103.702098132307
186,BEDOK GREEN SECONDARY SCHOOL,BEDOK GREEN SECONDARY SCHOOL,1.33451947288433,103.935028383346
187,PUNGGOL SECONDARY SCHOOL,PUNGGOL SECONDARY SCHOOL,1.40205738421401,103.909213706482
188,NORTH VISTA SECONDARY SCHOOL,NORTH VISTA SECONDARY SCHOOL,1.38113128535803,103.899188813886
189,ADMIRALTY SECONDARY SCHOOL,ADMIRALTY SECONDARY SCHOOL,1.44589068910993,103.802398196596
190,PEI HWA SECONDARY SCHOOL,PEI HWA SECONDARY SCHOOL,1.39037504993236,103.878461745339
191,GREENDALE SECONDARY SCHOOL,GREENDALE SECONDARY SCHOOL,1.39696019909524,103.91170014084
192,EDGEFIELD SECONDARY SCHOOL,EDGEFIELD SECONDARY SCHOOL,1.40059309981827,103.902687385465
193,MERIDIAN SECONDARY SCHOOL,MERIDIAN SECONDARY SCHOOL,1.36724684974879,103.948972483629
194,LOYANG VIEW SECONDARY SCHOOL,LOYANG VIEW SECONDARY SCHOOL,1.36658417167241,103.956944585725
195,DUNMAN HIGH SCHOOL,DUNMAN HIGH SCHOOL,1.29996190284073,103.882941559613
196,RIVER VALLEY HIGH SCHOOL,RIVER VALLEY HIGH SCHOOL,1.34407801177096,103.709022155892
197,AHMAD IBRAHIM SECONDARY SCHOOL,AHMAD IBRAHIM SECONDARY SCHOOL,1.4360597640899,103.829718678381
198,BROADRICK SECONDARY SCHOOL,BROADRICK SECONDARY SCHOOL,1.30705051215339,103.886917440944
199,BUKIT MERAH SECONDARY SCHOOL,BUKIT MERAH SECONDARY SCHOOL,1.28578413756165,103.813023119574
200,BUKIT PANJANG GOVT. HIGH SCHOOL,,,
201,DUNMAN SECONDARY SCHOOL,DUNMAN SECONDARY SCHOOL,1.36065258559016,103.956213320582
202,JURONG SECONDARY SCHOOL,JURONG SECONDARY SCHOOL,1.33002032220944,103.723952961648
203,NAVAL BASE SECONDARY SCHOOL,NAVAL BASE SECONDARY SCHOOL,1.41937881620446,103.831050390247
204,OUTRAM SECONDARY SCHOOL,OUTRAM SECONDARY SCHOOL,1.28651406161832,103.83712733566
205,YIO CHU KANG SECONDARY SCHOOL,YIO CHU KANG SECONDARY SCHOOL,1.37797597740928,103.84213696352
206,YUAN CHING SECONDARY SCHOOL,YUAN CHING SECONDARY SCHOOL,1.3420063576447,103.72089870437
207,BOON LAY SECONDARY SCHOOL,BOON LAY SECONDARY SCHOOL,1.34272269102177,103.701890026285
208,BEDOK VIEW SECONDARY SCHOOL,BEDOK VIEW SECONDARY SCHOOL,1.32415704057062,103.943776244752
209,HUA YI SECONDARY SCHOOL,HUA YI SECONDARY SCHOOL,1.35234365488343,103.721832319897
210,DEYI SECONDARY SCHOOL,DEYI SECONDARY SCHOOL,1.36599702512975,103.852545771335
211,PING YI SECONDARY SCHOOL,PING YI SECONDARY SCHOOL,1.327016727265,103.920700671715
212,PEICAI SECONDARY SCHOOL,PEICAI SECONDARY SCHOOL,1.35951583249591,103.870010748511
213,PASIR RIS SECONDARY SCHOOL,PASIR RIS SECONDARY SCHOOL,1.35422732653399,103.948962626204
214,GUANGYANG SECONDARY SCHOOL,GUANGYANG SECONDARY SCHOOL,1.34440856015541,103.850208933898
215,RIVERSIDE SECONDARY SCHOOL,RIVERSIDE SECONDARY SCHOOL,1.44110157139128,103.78830823641
216,ZHONGHUA SECONDARY SCHOOL,ZHONGHUA SECONDARY SCHOOL,1.34840720846211,103.869430481414
217,SWISS COTTAGE SECONDARY SCHOOL,SWISS COTTAGE SECONDARY SCHOOL,1.36471742697479,103.750396136688
218,YUSOF ISHAK SECONDARY SCHOOL,YUSOF ISHAK SECONDARY SCHOOL,1.34233921440626,103.760032628302
219,CHANGKAT CHANGI SECONDARY SCHOOL,CHANGKAT CHANGI SECONDARY SCHOOL,1.33950630072878,103.953245525564
220,TECK WHYE SECONDARY SCHOOL,TECK WHYE SECONDARY SCHOOL,1.3830891794707,103.755330021114
221,DUNEARN SECONDARY SCHOOL,DUNEARN SECONDARY SCHOOL,1.36357900792873,103.74472109107
222,NEW TOWN SECONDARY SCHOOL,NEW TOWN SECONDARY SCHOOL,1.30977590011361,103.77318863421
