,school_name,school_latitude,school_longitude
261,GEYLANG METHODIST SCHOOL (PRIMARY),1.31759126757286,103.883845744916
262,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.34978307376409,103.854529246517
263,ST. HILDA'S PRIMARY SCHOOL,1.349711,103.936117
264,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL (JAN 2018 - DEC 2019),1.3203941615946,103.82994776728
265,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.34947276268398,103.884971343143
266,NAN CHIAU PRIMARY SCHOOL,1.39221149906595,103.891180928186
267,CANOSSA CATHOLIC PRIMARY SCHOOL,1.3266,103.881888
268,KONG HWA SCHOOL,1.31099674009195,103.888352029067
269,MEE TOH SCHOOL,1.39461845385922,103.908589494228
270,NGEE ANN PRIMARY SCHOOL,1.305525059105,103.917463017497
271,RED SWASTIKA SCHOOL,1.33324297847733,103.934332314404
272,TAO NAN SCHOOL,1.30528528687323,103.911553152326
273,NANYANG PRIMARY SCHOOL,1.32084749904534,103.807750155296
274,SAINT ANTHONY'S PRIMARY SCHOOL,1.36411948475835,103.749251919049
275,MAHA BODHI SCHOOL,1.32847086658388,103.901298737314
276,PEI CHUN PUBLIC SCHOOL,1.333303,103.858963
277,POI CHING SCHOOL,1.35765122315691,103.935246477199
278,KHENG CHENG SCHOOL,1.33733819356392,103.847148501824
279,NAN HUA PRIMARY SCHOOL,1.319624,103.761507
280,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.33805507824253,103.776108247761
281,AI TONG SCHOOL,1.36058343389044,103.833020333986
282,HONG WEN SCHOOL,1.32175999964555,103.857628468881
283,HOLY INNOCENTS' PRIMARY SCHOOL,1.3669383087735,103.894114899795
284,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.34947276268398,103.884971343143
285,CHONGFU SCHOOL,1.43839562897008,103.839309173817
286,CHIJ (KATONG) PRIMARY,1.30648535277089,103.911105620496
287,ANGLO-CHINESE SCHOOL (PRIMARY),1.31837054550897,103.835609732082
288,ANGLO-CHINESE SCHOOL (INDEPENDENT),1.30370409257786,103.780363417671
289,ASSUMPTION ENGLISH SCHOOL,1.36838160662859,103.766687526556
290,CHIJ SECONDARY (TOA PAYOH),1.33246079948306,103.843271625083
291,GEYLANG METHODIST SCHOOL (SECONDARY),1.31764900474603,103.882661129303
